,lat,lon,date,d15n,blue,green,red,nir,swir1,swir2,imaging_time
0,46.80763,-100.903673,2020,-2.7,0.13699488197998624,0.15024062332900465,0.15334199068062027,0.23967611336032388,0.24697884042471926,0.19159728057444045,Sun Jul  5 03:28:56 2020
1,46.811941,-100.904219,2020,-3.7,0.130700481246658,0.14480177220991522,0.1413948514246429,0.26120235276143916,0.22533037965014133,0.17165991902834007,Sun Jul  5 03:28:56 2020
2,46.783513,-100.907936,2020,-4.3,0.1343518447788557,0.15175311282560539,0.1495684057749599,0.27339393476434193,0.2582537621266519,0.1883431365059965,Sun Jul  5 03:28:56 2020
3,46.785603,-100.911927,2020,-2.3,0.1347796195859751,0.15297532656023222,0.1512489496600718,0.2744633717821404,0.2591093117408907,0.19520281109158963,Sun Jul  5 03:28:56 2020
4,46.798586,-100.911965,2020,-3.05,0.13862959285004967,0.1540753189213964,0.15552669773126576,0.25044687189672293,0.2558398900007639,0.19726529676877244,Sun Jul  5 03:28:56 2020
5,46.76806,-100.912511,2020,1.2,0.1337865709265908,0.15389198686120234,0.15276143915667253,0.28106332594912536,0.26098846535787945,0.19263616224887328,Sun Jul  5 03:28:56 2020
6,46.770749,-100.913769,2020,-0.4,0.13797265296768774,0.15968222442899702,0.16263081506378427,0.28393552822549845,0.27861889847987165,0.20473607822167902,Sun Jul  5 03:28:56 2020
7,46.801783,-100.914474,2020,-3.2,0.13580322358872507,0.15156978076541136,0.15123367198838897,0.2599495836834466,0.24911771446031625,0.18892368802994425,Sun Jul  5 03:28:56 2020
8,46.786915,-100.915127,2020,-2.6,0.13316018638759453,0.14825452601023603,0.14967534947673974,0.24267053701015964,0.24661217630433122,0.1871056450996868,Sun Jul  5 03:28:56 2020
9,46.806092,-100.915421,2020,-2.7,0.14047819112367274,0.1552516996409747,0.15810862424566496,0.25393018104040943,0.2696967382170957,0.20768466885646628,Sun Jul  5 03:28:56 2020
10,46.786096,-100.915884,2020,-0.8,0.13487128561607212,0.1498281261935681,0.15007256894049348,0.25402184707050646,0.25211213811015204,0.19065006493010464,Sun Jul  5 03:28:56 2020
11,46.765843,-100.916361,2020,2.1,0.12969215491559086,0.14654342678175847,0.14816285998013903,0.240501107631197,0.2537162936368497,0.20299442364983578,Sun Jul  5 03:28:56 2020
